unit,schedule,treatment,treatment_5,treatment_25,npv_5_percent,stock_0,stock_5,stock_25,harvest_value_5,harvest_value_25,stock_1_0,stock_1_5,stock_1_25,stock_2_0,stock_2_5,stock_2_25,stock_30_0,stock_30_5,stock_30_25
43124565,4,below_5,below,donothing,5449.4961138266935,62.44339071394591,56.327404426970595,171.81773593322228,1864.5076433681154,0.0,0.0,0.0,0.0,8.888601901190713,8.344552063949447,24.826829880112722,53.554788812755184,47.98285236302116,146.9909060531097
43124565,5,below_5 + below_25,below,below,5757.805495189603,62.44339071394591,56.327404426970595,74.91244281792027,1864.5076433681154,6623.600297566501,0.0,0.0,0.0,8.888601901190713,8.344552063949447,10.47437802475781,53.554788812755184,47.98285236302116,64.43806479316244
43124565,6,below_5 + above_25,below,above,5788.704207316942,62.44339071394591,56.327404426970595,70.4473008395181,1864.5076433681154,7287.416357708174,0.0,0.0,0.0,8.888601901190713,8.344552063949447,10.316600919172734,53.554788812755184,47.98285236302116,60.130699920345386
43124565,7,below_5 + even_25,below,even,5793.08105441565,62.44339071394591,56.327404426970595,66.56571127412191,1864.5076433681154,7381.446859203988,0.0,0.0,0.0,8.888601901190713,8.344552063949447,9.618422572473081,53.554788812755184,47.98285236302116,56.94728870164883
43124565,8,below_5 + clearcut_25,below,clearcut,11663.782731362207,62.44339071394591,56.327404426970595,0.04320000000000001,1864.5076433681154,12049.777582593662,0.0,0.0,0.04320000000000001,8.888601901190713,8.344552063949447,0.0,53.554788812755184,47.98285236302116,0.0
43124565,9,above_5,above,donothing,5631.677783974745,62.44339071394591,53.1912839662859,173.0353773440277,2277.3340530959695,0.0,0.0,0.0,0.0,8.888601901190713,6.536608751604569,20.677938737350114,53.554788812755184,46.654675214681326,152.35743860667756
43124565,10,above_5 + below_25,above,below,5927.23483525794,62.44339071394591,53.1912839662859,73.73702060920938,2277.3340530959695,6349.634137544783,0.0,0.0,0.0,8.888601901190713,6.536608751604569,8.716536772801632,53.554788812755184,46.654675214681326,65.02048383640776
43124565,11,above_5 + above_25,above,above,5961.7964855320915,62.44339071394591,53.1912839662859,69.35094868411572,2277.3340530959695,7092.143353541726,0.0,0.0,0.0,8.888601901190713,6.536608751604569,8.356907415876625,53.554788812755184,46.654675214681326,60.994041268239094
43124565,12,above_5 + even_25,above,even,5956.698121857795,62.44339071394591,53.1912839662859,67.03745050492275,2277.3340530959695,6982.612067140671,0.0,0.0,0.0,8.888601901190713,6.536608751604569,8.011057137136223,53.554788812755184,46.654675214681326,59.02639336778651
43124565,13,even_5,even,donothing,5564.321056920347,62.44339071394591,53.07798986386505,169.34122701665987,2152.0202142932676,0.0,0.0,0.0,0.0,8.888601901190713,7.233018227921416,22.412256579727146,53.554788812755184,45.844971635943644,146.92897043693276
43124565,14,even_5 + below_25,even,below,5858.223914828421,62.44339071394591,53.07798986386505,74.1587803229427,2152.0202142932676,6314.096082610408,0.0,0.0,0.0,8.888601901190713,7.233018227921416,9.626403281294895,53.554788812755184,45.844971635943644,64.53237704164778
43124565,15,even_5 + above_25,even,above,5887.661109177537,62.44339071394591,53.07798986386505,70.64913891976867,2152.0202142932676,6946.513456315974,0.0,0.0,0.0,8.888601901190713,7.233018227921416,9.435294863877898,53.554788812755184,45.844971635943644,61.21384405589076
43124565,16,even_5 + even_25,even,even,5870.658878924676,62.44339071394591,53.07798986386505,72.89584553183823,2152.0202142932676,6581.244073774559,0.0,0.0,0.0,8.888601901190713,7.233018227921416,9.647741559679288,53.554788812755184,45.844971635943644,63.248103972158916
43124565,17,even_5 + clearcut_25,even,clearcut,11755.60113389596,62.44339071394591,53.07798986386505,0.04320000000000001,2152.0202142932676,11555.513904255728,0.0,0.0,0.04320000000000001,8.888601901190713,7.233018227921416,0.0,53.554788812755184,45.844971635943644,0.0
43124566,0,donothing,donothing,donothing,23527.79392311846,498.58447316571227,619.057391396318,1030.6626718025811,0.0,0.0,36.78116745589762,43.141993727592485,67.29918779676807,375.2251141202435,465.018974899001,761.2657338567805,86.57819158957062,110.8964227697244,202.09775014903317
43124566,1,below_25,donothing,below,24947.834719394385,498.58447316571227,619.057391396318,629.2275481126468,0.0,30507.61089134088,36.78116745589762,43.141993727592485,35.20555330408262,375.2251141202435,465.018974899001,487.06301843994544,86.57819158957062,110.8964227697244,106.95897636861855
43124566,2,above_25,donothing,above,25001.773341174576,498.58447316571227,619.057391396318,619.7091294784306,0.0,31666.40751859342,36.78116745589762,43.141993727592485,43.950119629161534,375.2251141202435,465.018974899001,444.71381502390636,86.57819158957062,110.8964227697244,131.0451948253627
43124566,3,even_25,donothing,even,25033.580013819013,498.58447316571227,619.057391396318,608.5960010727063,0.0,32349.729853648532,36.78116745589762,43.141993727592485,39.73949740211357,375.2251141202435,465.018974899001,449.51980318509027,86.57819158957062,110.8964227697244,119.33670048550262
43124566,4,clearcut_25,donothing,clearcut,54882.96326013425,498.58447316571227,619.057391396318,0.21150000000000008,0.0,78996.19021183495,36.78116745589762,43.141993727592485,0.21150000000000008,375.2251141202435,465.018974899001,0.0,86.57819158957062,110.8964227697244,0.0
43124567,0,donothing,donothing,donothing,5488.845652406645,118.05035831637993,144.31717256365212,233.98653557032324,0.0,0.0,15.926878975832542,18.064759654008494,26.113978244522567,7.673132149356441,9.689129483046472,18.40603970377293,94.45034719119097,116.56328342659717,189.46651762202782
43124567,1,below_25,donothing,below,5980.426610215849,118.05035831637993,144.31717256365212,95.19696080938921,0.0,10560.936433492474,15.926878975832542,18.064759654008494,10.730947099420408,7.673132149356441,9.689129483046472,5.812105137869592,94.45034719119097,116.56328342659717,78.65390857209921
43124567,2,above_25,donothing,above,5994.13469525438,118.05035831637993,144.31717256365212,92.83567534395938,0.0,10855.43566585088,15.926878975832542,18.064759654008494,10.148632180297264,7.673132149356441,9.689129483046472,8.318797869552617,94.45034719119097,116.56328342659717,74.36824529410949
43124567,3,even_25,donothing,even,5999.525193369237,118.05035831637993,144.31717256365212,90.65117803007053,0.0,10971.243056335636,15.926878975832542,18.064759654008494,10.117090221228297,7.673132149356441,9.689129483046472,7.130876902589126,94.45034719119097,116.56328342659717,73.40321090625315
43124567,4,clearcut_25,donothing,clearcut,12447.021406384189,118.05035831637993,144.31717256365212,0.046800000000000015,0.0,17909.908606681496,15.926878975832542,18.064759654008494,0.046800000000000015,7.673132149356441,9.689129483046472,0.0,94.45034719119097,116.56328342659717,0.0
43124567,5,below_5,below,donothing,7217.216574372902,118.05035831637993,91.77635076138188,160.7811433480049,3691.5102558056833,0.0,15.926878975832542,12.723345202652057,19.634659067889135,7.673132149356441,5.492517097990966,11.236880655418027,94.45034719119097,73.56048846073885,129.90960362469775
43124567,6,below_5 + below_25,below,below,7457.883337207705,118.05035831637993,91.77635076138188,93.51167862625516,3691.5102558056833,5170.392269220772,15.926878975832542,12.723345202652057,11.343882711251883,7.673132149356441,5.492517097990966,5.554839343485306,94.45034719119097,73.56048846073885,76.61295657151796
43124567,7,below_5 + above_25,below,above,7459.536761556786,118.05035831637993,91.77635076138188,93.63415915620902,3691.5102558056833,5205.9138026952205,15.926878975832542,12.723345202652057,11.40784241221935,7.673132149356441,5.492517097990966,7.071054613473389,94.45034719119097,73.56048846073885,75.15526213051632
43124567,8,below_5 + even_25,below,even,7488.18968684746,118.05035831637993,91.77635076138188,85.44569160200706,3691.5102558056833,5821.482241263299,15.926878975832542,12.723345202652057,10.434662849698073,7.673132149356441,5.492517097990966,5.971739092396016,94.45034719119097,73.56048846073885,69.03928965991302
43124567,9,below_5 + clearcut_25,below,clearcut,13920.049648375378,118.05035831637993,91.77635076138188,0.046800000000000015,3691.5102558056833,12424.224572067333,15.926878975832542,12.723345202652057,0.046800000000000015,7.673132149356441,5.492517097990966,0.0,94.45034719119097,73.56048846073885,0.0
43124567,10,above_5,above,donothing,7481.229560818715,118.05035831637993,90.88989279424433,163.9074738385877,3932.8031587242135,0.0,15.926878975832542,10.572399638558391,16.205877083204648,7.673132149356441,6.538364736814844,13.60787531312952,94.45034719119097,73.77912841887107,134.0937214422536
