unit,schedule,treatment,treatment_5,treatment_25,npv_5_percent,stock_0,stock_5,stock_25,harvest_value_25,stock_1_0,stock_1_5,stock_1_25,stock_2_0,stock_2_5,stock_2_25,stock_30_0,stock_30_5,stock_30_25,harvest_value_5
43124562,4,below_5,below,donothing,3292.138438695545,52.12804907945051,52.982124547595895,160.85580312595084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,52.982124547595895,160.85580312595084,1379.1150941838375
43124562,5,below_5 + below_25,below,below,3642.1059050978474,52.12804907945051,52.982124547595895,67.82236275283688,7518.566591628695,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,52.982124547595895,67.82236275283688,1379.1150941838375
43124562,6,below_5 + above_25,below,above,3679.304487843311,52.12804907945051,52.982124547595895,64.71360120398472,8317.726651736864,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,52.982124547595895,64.71360120398472,1379.1150941838375
43124562,7,below_5 + even_25,below,even,3675.2106351102893,52.12804907945051,52.982124547595895,62.318833905543606,8229.775892467847,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,52.982124547595895,62.318833905543606,1379.1150941838375
43124562,8,below_5 + clearcut_25,below,clearcut,8864.210124603083,52.12804907945051,52.982124547595895,0.03780000000000001,13434.62480328998,0.0,0.0,0.03780000000000001,0.0,0.0,0.0,52.12804907945051,52.982124547595895,0.0,1379.1150941838375
43124562,9,above_5,above,donothing,2915.054112402758,52.12804907945051,50.45761598029717,160.9543506521133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.45761598029717,160.9543506521133,1684.7120683307792
43124562,10,above_5 + below_25,above,below,3248.320061373685,52.12804907945051,50.45761598029717,67.48083691571807,7159.757607811118,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.45761598029717,67.48083691571807,1684.7120683307792
43124562,11,above_5 + above_25,above,above,3294.0965327177905,52.12804907945051,50.45761598029717,63.22460200008527,8143.201730970777,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.45761598029717,63.22460200008527,1684.7120683307792
43124562,12,above_5 + even_25,above,even,3279.428432835128,52.12804907945051,50.45761598029717,62.35701323631922,7828.077908536191,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.45761598029717,62.35701323631922,1684.7120683307792
43124562,13,even_5,even,donothing,2980.9733864504547,52.12804907945051,50.72651494014655,157.53884366151294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.72651494014655,157.53884366151294,1579.630413807632
43124562,14,even_5 + below_25,even,below,3311.3152354261333,52.12804907945051,50.72651494014655,66.98545595106849,7096.937366944507,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.72651494014655,66.98545595106849,1579.630413807632
43124562,15,even_5 + above_25,even,above,3349.8316165339916,52.12804907945051,50.72651494014655,63.985504689123914,7924.408500775826,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.72651494014655,63.985504689123914,1579.630413807632
43124562,16,even_5 + even_25,even,even,3345.7404221394504,52.12804907945051,50.72651494014655,61.03377584783789,7836.514852229387,0.0,0.0,0.0,0.0,0.0,0.0,52.12804907945051,50.72651494014655,61.03377584783789,1579.630413807632
43124562,17,even_5 + clearcut_25,even,clearcut,8523.162974773855,52.12804907945051,50.72651494014655,0.03780000000000001,12792.649299413783,0.0,0.0,0.03780000000000001,0.0,0.0,0.0,52.12804907945051,50.72651494014655,0.0,1579.630413807632
43124563,0,donothing,donothing,donothing,40891.50284001609,498.5624357898213,697.9623990202323,1478.7630291692662,0.0,0.0,0.0,0.0,32.58116504156665,53.35527520773215,160.35297462657644,465.98127074825464,644.6071238125003,1318.41005454269,0.0
43124563,1,below_25,donothing,below,44533.13543265363,498.5624357898213,697.9623990202323,628.158436455077,78235.43551478695,0.0,0.0,0.0,32.58116504156665,53.35527520773215,42.187007823280624,465.98127074825464,644.6071238125003,585.9714286317964,0.0
43124563,2,above_25,donothing,above,44752.95177825631,498.5624357898213,697.9623990202323,597.6997818584881,82957.8854308674,0.0,0.0,0.0,32.58116504156665,53.35527520773215,84.10445919674846,465.98127074825464,644.6071238125003,513.5953226617396,0.0
43124563,3,even_25,donothing,even,44820.58668120582,498.5624357898213,697.9623990202323,572.9030958758786,84410.92770068668,0.0,0.0,0.0,32.58116504156665,53.35527520773215,62.12402784243283,465.98127074825464,644.6071238125003,510.7790680334457,0.0
43124563,4,clearcut_25,donothing,clearcut,88646.02081678799,498.5624357898213,697.9623990202323,0.31590000000000007,137795.87169490996,0.0,0.0,0.31590000000000007,32.58116504156665,53.35527520773215,0.0,465.98127074825464,644.6071238125003,0.0,0.0
43124564,0,donothing,donothing,donothing,2202.765708281634,20.42743917492173,35.245503285006876,109.00477224120635,0.0,0.0,0.0,0.0,1.531363820256523,3.1083628362272915,12.910809915491809,18.896075354665207,32.13714044877958,96.09396232571454,0.0
43124564,1,below_25,donothing,below,2418.1678529032442,20.42743917492173,35.245503285006876,28.820198616109813,4627.616918126651,0.0,0.0,0.0,1.531363820256523,3.1083628362272915,2.354856947410532,18.896075354665207,32.13714044877958,26.46534166869928,0.0
43124564,2,above_25,donothing,above,2460.8694135138367,20.42743917492173,35.245503285006876,24.368387166839135,5545.000840460011,0.0,0.0,0.0,1.531363820256523,3.1083628362272915,3.7798582362638644,18.896075354665207,32.13714044877958,20.588528930575276,0.0
43124564,3,even_25,donothing,even,2446.2328346554955,20.42743917492173,35.245503285006876,24.93679551162374,5230.554203601543,0.0,0.0,0.0,1.531363820256523,3.1083628362272915,2.953579188621587,18.896075354665207,32.13714044877958,21.983216323002143,0.0
43124564,4,below_5,below,donothing,1456.0540554302263,20.42743917492173,19.541543028289134,71.67208674761322,0.0,0.0,0.0,0.0,1.531363820256523,1.3632376275413143,6.941380945224769,18.896075354665207,18.17830540074782,64.73070580238846,587.3576859896241
